#{"t_start": 1775187436.8245802, "env_id": "OpenTheChests-v2"}
r,l,t
-33.0,516,979.805335
-34.0,519,980.374554
-30.0,516,984.089861
-32.0,514,984.653305
-32.0,513,985.215801
-30.0,516,985.781844
-30.0,515,989.365026
-30.0,516,989.93037
-30.0,517,990.498125
-30.0,514,991.06118
-30.0,532,994.895151
-30.0,515,995.457988
-30.0,515,996.020507
-30.0,514,996.582319
-30.0,515,1000.169404
-30.0,518,1000.737202
-30.0,515,1001.301786
-30.0,514,1004.590352
-30.0,517,1005.155487
-30.0,519,1005.72376
-31.0,523,1006.29593
-30.0,516,1010.041669
-34.0,520,1010.611003
-32.0,516,1011.176388
-30.0,520,1011.745415
-30.0,512,1015.358654
-30.0,513,1015.91984
-30.0,519,1016.487504
-30.0,519,1017.055327
-30.0,512,1020.629087
-30.0,524,1021.203236
-30.0,517,1021.770422
-33.0,517,1022.337323
-30.0,516,1025.942232
-30.0,515,1026.505864
-30.0,513,1027.066914
-30.0,516,1027.630608
-30.0,521,1031.303047
-30.0,516,1031.867879
-32.0,519,1032.435701
-30.0,515,1032.996822
-30.0,515,1036.695516
-30.0,529,1037.276382
-30.0,521,1037.847555
-30.0,505,1038.401788
-30.0,531,1042.100985
-30.0,518,1042.667422
-32.0,514,1043.230432
-33.0,514,1043.809414
-34.0,513,1047.396617
-30.0,514,1047.959644
-32.0,514,1048.523206
-32.0,514,1049.086603
-30.0,516,1052.775068
-30.0,518,1053.341251
-30.0,514,1053.903027
-30.0,515,1054.466942
-30.0,516,1058.216983
-30.0,517,1058.782233
-30.0,518,1059.349568
-30.0,515,1059.912576
-30.0,515,1063.465034
-32.0,516,1064.028841
-30.0,513,1064.589617
-30.0,518,1065.154219
-30.0,514,1068.750379
-30.0,516,1069.315816
-30.0,514,1069.87886
-30.0,517,1070.444805
-30.0,516,1074.066058
-30.0,524,1074.640953
-30.0,516,1075.205565
-30.0,524,1075.780292
-30.0,518,1079.468946
-30.0,529,1080.050193
-30.0,519,1080.62008
-30.0,528,1081.199744
-30.0,523,1084.866467
-30.0,517,1085.432331
-32.0,519,1085.999819
-30.0,514,1086.562447
-34.0,518,1090.146776
-30.0,514,1090.709353
-30.0,514,1091.273077
-30.0,514,1091.837562
-47.0,516,1095.527554
-128.0,519,1096.096626
-131.0,515,1096.659995
-43.0,180,1096.857646
-92.0,356,1097.246996
-65.0,513,1101.309869
-51.0,516,1101.875196
-69.0,512,1102.435816
-57.0,513,1102.997377
-40.0,515,1106.623345
-57.0,519,1107.195753
-45.0,513,1107.75713
-39.0,517,1108.322538
-46.0,515,1111.999606
-38.0,514,1112.561895
-44.0,515,1113.134138
-45.0,515,1113.69767
-46.0,519,1117.389
-49.0,517,1117.955992
-49.0,516,1118.51988
-44.0,514,1119.080405
-38.0,515,1122.766127
-44.0,516,1123.330369
-42.0,515,1123.893479
-38.0,516,1124.455636
-38.0,515,1128.145256
-40.0,514,1128.707484
-41.0,518,1129.274318
-34.0,515,1129.836693
-30.0,514,1133.497982
-32.0,514,1134.059748
-33.0,517,1134.624197
-30.0,519,1135.191218
-36.0,519,1138.736314
-30.0,516,1139.301361
-32.0,516,1139.866449
-32.0,516,1140.429765
-30.0,514,1144.130874
-30.0,517,1144.697194
-30.0,516,1145.263026
-36.0,529,1148.514293
-32.0,517,1149.079171
-30.0,513,1149.639506
-30.0,516,1150.202944
-30.0,515,1153.8081
-30.0,517,1154.373772
-32.0,514,1154.935731
-30.0,515,1155.498188
-30.0,514,1159.189052
-30.0,512,1159.751364
-31.0,522,1160.323201
-30.0,515,1160.887229
-33.0,547,1164.595185
-18.0,226,1164.844149
-35.0,517,1165.409458
-18.0,262,1165.696695
-46.0,518,1166.264105
-46.0,515,1170.270659
-33.0,518,1170.838025
-30.0,516,1171.40389
-33.0,514,1171.966448
-33.0,515,1175.719262
-36.0,514,1176.281494
-31.0,514,1176.843721
-32.0,514,1177.405061
-30.0,517,1181.036366
-32.0,517,1181.60347
-30.0,515,1182.167224
-30.0,516,1182.73304
-30.0,517,1186.360341
-30.0,518,1186.926705
-30.0,516,1187.49145
-30.0,538,1188.080615
-30.0,517,1191.746807
-35.0,515,1192.309962
-30.0,513,1192.872053
-30.0,515,1193.435346
-35.0,518,1196.943853
-31.0,517,1197.510216
-30.0,513,1198.071841
-35.0,517,1198.638419
-30.0,517,1202.306777
-34.0,515,1202.870981
-32.0,515,1203.435272
-33.0,515,1203.999196
-32.0,514,1207.632848
-37.0,527,1208.210572
-31.0,515,1208.774782
-30.0,517,1209.340101
-30.0,515,1213.027972
-30.0,513,1213.589647
-30.0,516,1214.155135
-31.0,514,1214.717353
-30.0,517,1218.4049
-30.0,534,1218.990334
-30.0,517,1219.556396
-31.0,526,1220.132493
-30.0,541,1223.836327
-30.0,513,1224.404735
-30.0,515,1224.969547
-30.0,516,1225.550163
-30.0,514,1229.285293
-30.0,543,1229.896824
-30.0,536,1230.484336
-30.0,515,1231.048877
-30.0,524,1234.752805
-30.0,525,1235.328217
-30.0,533,1235.912669
-30.0,542,1236.50684
-31.0,543,1240.21938
-31.0,518,1240.787134
-32.0,514,1241.349725
-32.0,518,1241.916168
-30.0,517,1245.505885
-31.0,526,1246.081301
-33.0,539,1246.671185
-30.0,518,1250.026814
-29.0,516,1250.590945
-30.0,519,1251.160138
-31.0,524,1251.734607
-30.0,520,1255.383492
-30.0,541,1255.976849
-32.0,511,1256.537574
-30.0,528,1257.117208
-31.0,521,1260.971411
-30.0,515,1261.533381
-30.0,516,1262.098384
0.0,65,1262.17127
-30.0,517,1262.736254
-30.0,515,1266.704945
-30.0,515,1267.268406
-30.0,516,1267.833951
-30.0,515,1268.39768
-30.0,515,1272.071756
-33.0,517,1272.638207
-30.0,520,1273.208352
-30.0,515,1273.772868
-33.0,517,1277.423701
-41.0,515,1277.988764
-37.0,514,1278.55231
-44.0,517,1279.119653
-48.0,521,1282.743773
-47.0,515,1283.307612
-48.0,517,1283.890747
-38.0,515,1284.476336
-50.0,519,1288.215912
-42.0,514,1288.787121
-49.0,529,1289.366821
-48.0,516,1289.931566
-44.0,514,1293.640115
-41.0,517,1294.206032
-39.0,517,1294.772696
-37.0,516,1295.338163
-43.0,517,1299.04051
-33.0,518,1299.608541
-31.0,515,1300.173029
-35.0,514,1300.736958
-32.0,513,1304.333637
-31.0,513,1304.895521
-30.0,515,1305.458866
